RCAB,Code,Name,Start Date,End Date,Status
SA DFEEST,571,Best Centre,1-Jan-99,31-Dec-00,Non-Current
ASQA,573,South Australian Metropolitan Fire Service,31-Mar-15,30-Mar-22,Current
SA DFEEST,574,South Eastern Employment Resource Development Enterprise Inc,30-Sep-96,31-Jan-00,Non-Current
ASQA,575,SA College of Natural Medicine Pty Ltd,22-Feb-94,7-Jan-13,Cancelled
SA DFEEST,576,Inner Western Workskills Inc,1-Jul-99,30-Jun-04,Non-Current
ASQA,577,Logging Investigation and Training Association Inc,31-Mar-15,30-Mar-20,Current
SA DFEEST,578,Port Adelaide Information Technology Centre,30-Jul-96,30-Jun-99,Non-Current
SA DFEEST,579,LSH and Associates Pty Ltd,1-Apr-95,30-Jun-99,Non-Current
SA DFEEST,580,Training and Licensing Centre Inc,4-Dec-02,4-Dec-07,Non-Current
ASQA,581,Heavy Equipment Training and Assessment Pty Ltd,8-Nov-13,7-Nov-18,Current
SA DFEEST,582,Adelaide Forklift Training Centre Pty Ltd,18-Dec-02,14-Feb-11,Non-Current
NT DET,583,Australian Red Cross NT Division,1-Apr-01,31-Mar-04,Non-Current
NT DET,584,Danila Dilba Biluru Butji Binnilutlum Health Service Aboriginal Corporation,1-Jan-99,31-Mar-07,Non-Current
NT DET,585,SIL Darwin Incorporated,1-Jan-99,30-Apr-05,Non-Current
NSW VETAB,587,Bonnyrigg Skillshare,1-Jan-98,23-Nov-01,Non-Current
ASQA,590,AMES Australia,1-Dec-14,30-Nov-19,Current
WA TAC,592,OTRACO (International) Pty Ltd,27-May-94,31-Dec-99,Non-Current
ASQA,594,Perth Institute of Business and Technology Pty Ltd,4-Dec-12,3-Dec-17,Current
WA TAC,595,Edwards College Pty Ltd,29-Nov-94,31-Dec-99,Non-Current
WA TAC,596,Swan Brewery,16-Dec-94,31-Dec-00,Non-Current
WA TAC,597,Perth Japanese Language Academy Pty Ltd,16-Dec-94,31-Dec-99,Non-Current
WA TAC,598,Churches of Christ Homes and Community Services Inc,16-Dec-94,31-Dec-99,Non-Current
WA TAC,599,Target Australia - WA,14-Mar-97,19-Mar-01,Non-Current
WA TAC,600,Yorkglen Holdings Pty Ltd trading as Charles Fitzgerald & Associates,7-Dec-00,31-Mar-04,Non-Current
WA TAC,601,Plastics and Rubber Technology Centre,14-Mar-97,31-Dec-01,Non-Current
WA TAC,602,Tyco Services,9-Dec-99,28-Feb-00,Non-Current
WA TAC,603,Risk Management Technologies Pty Ltd,29-Nov-94,31-Dec-99,Non-Current
WA TAC,604,City of Melville,3-Feb-00,30-Sep-03,Non-Current
WA TAC,605,Edwards Manufacturing,16-Dec-94,31-Dec-98,Cancelled
WA TAC,606,Esperance Farm Training Centre,16-Dec-94,31-Dec-99,Non-Current
WA TAC,607,Castleway Nominees Pty Ltd,21-Aug-02,30-Sep-07,Non-Current
WA TAC,608,Step 1 Inc,14-May-97,31-Dec-01,Cancelled
WA TAC,609,Amana Living Incorporated,30-Jan-13,30-Nov-17,Current
